,ID,Nome,Sexo,Idade,Altura,Peso,Team,NOC,Jogos,Ano,Estação,City,Esporte,Event,Medalha
114474,57973,Ktia Cilene Teixeira da Silva,F,19.0,172.0,70.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Football,Football Women's Football,
114475,57973,Ktia Cilene Teixeira da Silva,F,23.0,172.0,70.0,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Football,Football Women's Football,
115578,58558,Kelly Silva dos Santos,F,24.0,193.0,92.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Basketball,Basketball Women's Basketball,
115579,58558,Kelly Silva dos Santos,F,28.0,193.0,92.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Basketball,Basketball Women's Basketball,
115580,58558,Kelly Silva dos Santos,F,36.0,193.0,92.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Women's Basketball,
117933,59674,"rika Kelly ""Kiki"" Pereira Coimbra",F,24.0,179.0,67.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Volleyball,Volleyball Women's Volleyball,
122814,62079,"Renata Aparacida ""Kki"" da Costa",F,26.0,171.0,68.0,Brazil,BRA,2012 Summer,2012,Summer,London,Football,Football Women's Football,
132550,66721,Larissa Frana Maestrini,F,26.0,174.0,68.0,Brazil-2,BRA,2008 Summer,2008,Summer,Beijing,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,
132552,66721,Larissa Frana Maestrini,F,34.0,174.0,68.0,Brazil-2,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,
136152,68490,Leila de Souza Sobral Freitas,F,29.0,187.0,83.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Basketball,Basketball Women's Basketball,
136153,68491,Leila de Gomes de Barros,F,20.0,179.0,72.0,Brazil,BRA,1992 Summer,1992,Summer,Barcelona,Volleyball,Volleyball Women's Volleyball,
136457,68626,Vera Helena Mossa Leme,F,15.0,183.0,62.0,Brazil,BRA,1980 Summer,1980,Summer,Moskva,Volleyball,Volleyball Women's Volleyball,
136458,68626,Vera Helena Mossa Leme,F,19.0,183.0,62.0,Brazil,BRA,1984 Summer,1984,Summer,Los Angeles,Volleyball,Volleyball Women's Volleyball,
136459,68626,Vera Helena Mossa Leme,F,23.0,183.0,62.0,Brazil,BRA,1988 Summer,1988,Summer,Seoul,Volleyball,Volleyball Women's Volleyball,
140132,70353,"Danielle ""Dani"" Rodrigues Lins",F,31.0,183.0,71.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Women's Volleyball,
145317,72938,Luiza Pinheiro Machado,F,19.0,175.0,65.0,Brazil,BRA,1984 Summer,1984,Summer,Los Angeles,Volleyball,Volleyball Women's Volleyball,
147925,74232,"Jucimara Evangelista ""Mam"" do Nascimento Dantas",F,30.0,193.0,81.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Basketball,Basketball Women's Basketball,
149004,74736,Palmira Cristina Maral,F,32.0,174.0,76.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Women's Basketball,
149185,74833,"Mrcia Regina ""Mrcia Fu"" Cunha",F,19.0,185.0,80.0,Brazil,BRA,1988 Summer,1988,Summer,Seoul,Volleyball,Volleyball Women's Volleyball,
149186,74833,"Mrcia Regina ""Mrcia Fu"" Cunha",F,22.0,185.0,80.0,Brazil,BRA,1992 Summer,1992,Summer,Barcelona,Volleyball,Volleyball Women's Volleyball,
149509,74992,"Marianne ""Mari"" Steinbrecher",F,20.0,188.0,70.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Volleyball,Volleyball Women's Volleyball,
149519,74997,Maria Elisa Mendes Ticon Antonelli,F,28.0,176.0,68.0,Brazil-2,BRA,2012 Summer,2012,Summer,London,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,
149795,75124,Marisa Pires Nogueira,F,30.0,156.0,52.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Football,Football Women's Football,
150153,75307,Priscila Marques,F,22.0,178.0,105.0,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Judo,Judo Women's Heavyweight,
150397,75451,Marta Vieira da Silva,F,26.0,162.0,58.0,Brazil,BRA,2012 Summer,2012,Summer,London,Football,Football Women's Football,
150398,75451,Marta Vieira da Silva,F,30.0,162.0,58.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Women's Football,
151237,75904,Mariana Martins,F,17.0,157.0,48.0,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Judo,Judo Women's Extra-Lightweight,
152848,76708,Denise Porto Mattioli,F,28.0,174.0,63.0,Brazil,BRA,1980 Summer,1980,Summer,Moskva,Volleyball,Volleyball Women's Volleyball,
153112,76849,Maurine Dorneles Gonalves,F,26.0,159.0,51.0,Brazil,BRA,2012 Summer,2012,Summer,London,Football,Football Women's Football,
153355,76966,"Andria ""Maycon"" dos Santos",F,23.0,155.0,56.0,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Football,Football Women's Football,
155668,78145,"Margarete Maria ""Meg"" Pioresan",F,40.0,175.0,64.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Football,Football Women's Football,
156263,78476,Ana Paula Rodrgues Mello,F,18.0,176.0,68.0,Brazil,BRA,1980 Summer,1980,Summer,Moskva,Volleyball,Volleyball Women's Volleyball,
156674,78703,Sarah Gabrielle Cabral de Menezes,F,18.0,154.0,48.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Judo,Judo Women's Extra-Lightweight,
156676,78703,Sarah Gabrielle Cabral de Menezes,F,26.0,154.0,48.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Women's Extra-Lightweight,
158007,79321,Micaela Martins Jacinto,F,29.0,180.0,69.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Basketball,Basketball Women's Basketball,
158034,79338,"Marilia ""Michael Jackson"" dos Santos",F,32.0,168.0,63.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Football,Football Women's Football,
159908,80239,rika de Souza Miranda,F,25.0,162.0,52.0,Brazil,BRA,2012 Summer,2012,Summer,London,Judo,Judo Women's Half-Lightweight,
159909,80239,rika de Souza Miranda,F,29.0,162.0,52.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Women's Half-Lightweight,
162043,81351,Mnica Anglica de Paula,F,22.0,178.0,76.0,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Football,Football Women's Football,
162045,81352,Mnica Hickmann Alves,F,29.0,168.0,64.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Women's Football,
164149,82395,Ana Beatriz Moser,F,20.0,185.0,70.0,Brazil,BRA,1988 Summer,1988,Summer,Seoul,Volleyball,Volleyball Women's Volleyball,
164150,82395,Ana Beatriz Moser,F,23.0,185.0,70.0,Brazil,BRA,1992 Summer,1992,Summer,Barcelona,Volleyball,Volleyball Women's Volleyball,
168478,84677,Natlia Zlio Pereira,F,27.0,184.0,76.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Women's Volleyball,
169697,85299,"Elissandra Regina ""Nen"" Cavalcanti",F,20.0,158.0,54.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Football,Football Women's Football,
